QPU,mitig method,total qubits,addr qubits,data qubits,inp size,shots / circ,avr RMSE,err RMSE,atten factor,CZ gates,,actual shots / circ,actual RMSE,shot noise diff,target shots /address
ideal,ideal,6,2,4,16,4.00E+03,0.025,0.001,1.00,16,,,,,1000
ideal,ideal,6,3,3,24,8.00E+03,0.024,0.001,1.00,24,,,,,
ideal,ideal,9,3,6,48,8.00E+03,0.025,0.001,1.00,48,,,,,
ideal,ideal,8,4,4,64,1.60E+04,0.024,0.001,1.00,64,,,,,
ideal,ideal,15,3,12,96,8.00E+03,0.025,0.001,1.00,96,,,,,
ideal,ideal,12,4,8,128,1.60E+04,0.025,0.001,1.00,128,,,,,
ideal,ideal,6,5,1,32,3.20E+04,0.024,0.001,1.00,32,,,,,
,,,,,,,,,,,,,,,
forte-1,debias,6,2,4,16,4.00E+03,0.031,0.006,1.09,16,,"4,000",,,
forte-1,debias,6,3,3,24,8.00E+03,0.035,0.005,1.15,24,,"8,000",,,
forte-1,debias,9,3,6,48,8.00E+03,0.077,0.008,1.28,48,,"8,000",,,
forte-1,debias,8,4,4,64,1.60E+04,0.080,0.007,1.34,64,,"8,000",0.082,0.018,
forte-1,debias,15,3,12,96,8.00E+03,0.138,0.010,1.48,96,,"8,000",,,
forte-1,debias,12,4,8,128,1.60E+04,0.197,0.012,1.77,128,,"8,000",0.198,0.018,
,,,,,,,,,,,,,,,
pittsburgh,RC,6,3,3,24,8.00E+03,0.042,0.006,1.21,66,,,,,
pittsburgh,RC,9,3,6,48,8.00E+03,0.112,0.012,1.57,168,,,,,
pittsburgh,RC,12,3,9,72,8.00E+03,0.099,0.008,1.92,339,,,,,
pittsburgh,RC,8,4,4,64,1.60E+04,0.120,0.011,2.09,235,,,,,
pittsburgh,RC,15,3,12,96,8.00E+03,0.214,0.016,2.18,454,,,,,
pittsburgh,RC,12,4,8,128,1.60E+04,0.158,0.010,2.21,462,,"8,000",0.159,0.018,
,,,,,,,,,,,,,,,
#,"RMSE is computed only for calib sample, which is also used to  set atten-factor ",,,,,,,,,,,,,,
#,"shot error is corrected as if target=1k shots/address were used, the actual measured value is in the O-P columns,  ",,,,,,,,,,,,,,
#,,error of RMSE is not correct because this correction is too small to matter,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
#,job details,November 2025,,,,,,,,,,,,,
#,forte-1,https://docs.google.com/document/d/1b-u9D8fWmUIjxmGUhF9C3Ob5mUViytkdsVKB3X6G1UE/edit?usp=sharing,,,,,,,,,,,,,
#,,data,"basePath=/dataVault2025/data2025_IonQ
",,,,,,,,,,,,
#,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,, ,,
